sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,305,Avenida del Parque,Arizona,Nápoles,Benito Juárez,19.394693,-99.175531,Arroyo,Instalada
Ecobici,306,Dakota,Filadelfia,Nápoles,Benito Juárez,19.393699,-99.175664,Arroyo,Instalada
Ecobici,307,Minnesota,Dakota,Nápoles,Benito Juárez,19.393701,-99.175834,Arroyo,Instalada
Ecobici,308,Nueva York,Arizona,Nápoles,Benito Juárez,19.393643,-99.178156,Arroyo,Instalada
Ecobici,309,Pensilvania,Arizona,Nápoles,Benito Juárez,19.393059,-99.179483,Arroyo,Instalada
Ecobici,310,Calle 1,Patriotismo,San Pedro de los Pinos,Benito Juárez,19.395322,-99.181667,Arroyo,Instalada
Ecobici,312,Avenida 2,Calle 7,San Pedro de los Pinos,Benito Juárez,19.392634,-99.183737,Arroyo,Instalada
Ecobici,313,Pensilvania,Oklahoma,Nápoles,Benito Juárez,19.391431,-99.178989,Arroyo,Instalada
Ecobici,314,Nueva York,Louisiana,Nápoles,Benito Juárez,19.391647,-99.177331,Arroyo,Instalada
Ecobici,315,Alabama,Montana,Nápoles,Benito Juárez,19.391472,-99.1736,Arroyo,Instalada
Ecobici,316,San Francisco,Concepción Beistegui,Del Valle Norte,Benito Juárez,19.391056,-99.1712,Arroyo,Instalada
Ecobici,317,Avenida Coyoacán,Torres Adalid,Del Valle Norte,Benito Juárez,19.391456,-99.166157,Arroyo,Instalada
Ecobici,318,Luz Saviñón,Amores,Del Valle Norte,Benito Juárez,19.392195,-99.163987,Arroyo,Instalada
Ecobici,319,Diagonal San Antonio,Luz Saviñón,Del Valle Norte,Benito Juárez,19.391991,-99.162684,Arroyo,Instalada
Ecobici,320,Enrique Rébsamen,Luz Saviñón,Narvarte Poniente,Benito Juárez,19.391323,-99.15936,Arroyo,Instalada
Ecobici,321,Torres Adalid,Anaxágoras,Narvarte Poniente,Benito Juárez,19.389477,-99.157513,Arroyo,Instalada
Ecobici,322,Heriberto Frías,Concepción Beistegui,Narvarte Poniente,Benito Juárez,19.388528,-99.160616,Arroyo,Instalada
Ecobici,323,Concepción Beistegui,Gabriel Mancera,Del Valle Norte,Benito Juárez,19.388927,-99.163127,Arroyo,Instalada
Ecobici,324,Amores,Avenida Eugenia,Del Valle Centro,Benito Juárez,19.387342,-99.165629,Arroyo,Instalada
Ecobici,325,Providencia,Avenida Del Valle,Del Valle Centro,Benito Juárez,19.388178,-99.169689,Arroyo,Instalada
Ecobici,326,Eugenia,Nebraska,Ampliación Nápoles,Benito Juárez,19.388978,-99.174811,Arroyo,Instalada
Ecobici,327,Georgia,Pensilvania,Nápoles,Benito Juárez,19.38885,-99.17772,Arroyo,Instalada
Ecobici,328,Avenida 1,Calle 7,San Pedro de los Pinos,Benito Juárez,19.392721,-99.184727,Arroyo,Instalada
Ecobici,329,Calle 13,Avenida 1,San Pedro de los Pinos,Benito Juárez,19.390306,-99.184812,Arroyo,Instalada
Ecobici,330,Calle 15,Avenida Patriotismo,San Pedro de los Pinos,Benito Juárez,19.389358,-99.182606,Arroyo,Instalada
Ecobici,331,Avenida 2,Calle 17,San Pedro de los Pinos,Benito Juárez,19.388748,-99.183924,Arroyo,Instalada
Ecobici,332,Calle 27,Avenida 3,San Pedro de los Pinos,Benito Juárez,19.385494,-99.183744,Arroyo,Instalada
Ecobici,333,Georgia,Carolina,Ampliación Nápoles,Benito Juárez,19.387624,-99.180978,Arroyo,Instalada
Ecobici,334,Nueva York,Insurgentes,Ampliación Nápoles,Benito Juárez,19.3865269,-99.1751519,Arroyo,Instalada
Ecobici,335,Magdalena,Ameyalco,Del Valle Centro,Benito Juárez,19.386985,-99.173416,Arroyo,Instalada
Ecobici,336,San Borja,Cda. Dr. J. Bartolache,Del Valle Centro,Benito Juárez,19.385531,-99.169673,Arroyo,Instalada
Ecobici,337,San Borja,Martín Mendalde,Del Valle Centro,Benito Juárez,19.384849,-99.16704,Arroyo,Instalada
Ecobici,338,Nicolás San Juan,San Borja,Del Valle Centro,Benito Juárez,19.384242,-99.16326,Arroyo,Instalada
Ecobici,339,Enrique Rébsamen,Avenida Eugenia,Narvarte Poniente,Benito Juárez,19.386212,-99.160583,Arroyo,Instalada
Ecobici,340,Anaxágoras,Avenida Eugenia,Narvarte Poniente,Benito Juárez,19.3856299,-99.1582241,Arroyo,Instalada
Ecobici,341,San Borja,Avenida Cuauhtémoc,Narvarte Poniente,Benito Juárez,19.382889,-99.158352,Arroyo,Instalada
Ecobici,342,Anaxágoras,Ángel Urraza Eje 6 Sur,Narvarte Poniente,Benito Juárez,19.381052,-99.159453,Arroyo,Instalada
Ecobici,343,Enrique Rébsamen,División del Norte,Del valle Centro,Benito Juárez,19.383904,-99.160875,Arroyo,Instalada
Ecobici,345,Patricio Sanz,Miraflores,Insurgentes San Borja,Benito Juárez,19.384447,-99.172039,Arroyo,Instalada
Ecobici,346,San Francisco,Santa Margarita,Insurgentes San Borja,Benito Juárez,19.385039,-99.174018,Arroyo,Instalada
Ecobici,347,Pensilvania,Maximino Avila Camacho,Ciudad de los Deportes,Benito Juárez,19.384474,-99.176084,Arroyo,Instalada
Ecobici,348,Indiana,Avenida San Antonio,Ciudad de los Deportes,Benito Juárez,19.38542,-99.17823,Arroyo,Instalada
Ecobici,349,Augusto Rodin,Avenida San Antonio,Ampliación Nápoles,Benito Juárez,19.385632,-99.180848,Arroyo,Instalada
Ecobici,351,Calle 27,Avenida Revolución,San Pedro de los Pinos,Benito Juárez,19.385751,-99.186297,Arroyo,Instalada
Ecobici,352,Tintoreto,Giorgione,Nonoalco,Benito Juárez,19.384146,-99.185491,Arroyo,Instalada
Ecobici,353,Carolina,Holbein,Ciudad de los Deportes,Benito Juárez,19.38213,-99.178814,Arroyo,Instalada
Ecobici,354,Boston,Avenida Insurgentes,Noche Buena,Benito Juárez,19.381714,-99.176664,Arroyo,Instalada
Ecobici,355,California,Sacramento,Insurgentes San Borja,Benito Juárez,19.382042,-99.173336,Arroyo,Instalada
Ecobici,356,Matías Romero,Adolfo Prieto,Del Valle Centro,Benito Juárez,19.381287,-99.1702,Arroyo,Instalada
Ecobici,357,Matías Romero,Amores,Del Valle Centro,Benito Juárez,19.380617,-99.167066,Arroyo,Instalada
Ecobici,358,Nicolás San Juan,Matías Romero,Del Valle Centro,Benito Juárez,19.380087,-99.16427,Arroyo,Instalada
Ecobici,359,Matías Romero,Pestalozzi,Del Valle Centro,Benito Juárez,19.379331,-99.161163,Arroyo,Instalada
