,address,districtName,id,location,name,nearbyStations,lat,lon
165,344 - Heriberto Frías-Angel Urraza Eje 6 Sur,Del Valle Centro,344,"{'lat': 19.382107, 'lon': -99.162243}",344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR,"[338, 343, 358]",19.382107,-99.162243
166,335 - Magdalena-Ameyalco,Del Valle Centro,335,"{'lat': 19.387003, 'lon': -99.173504}",335 MAGDALENA-AMEYALCO,"[326, 334, 346]",19.387003,-99.173504
167,336 - San Borja-Cda. Bartoloche,Del Valle Centro,336,"{'lat': 19.385531, 'lon': -99.169673}",336 SAN BORJA-CDA. BARTOLOCHE,"[325, 337, 345]",19.385531,-99.169673
168,337 - San Borja-Martín Menlalde,Del Valle Centro,337,"{'lat': 19.384849, 'lon': -99.16704}",337 SAN BORJA-MARTÍN MENLALDE,"[324, 336, 338]",19.384849,-99.16704
169,338 - Nicolas San Juan-San Borja,Del Valle Centro,338,"{'lat': 19.384249, 'lon': -99.163273}",338 NICOLAS SAN JUAN-SAN BORJA,"[324, 336, 337]",19.384249,-99.163273
170,373 - Pilares-Gabriel Mancera,Del Valle Centro,373,"{'lat': 19.377968, 'lon': -99.166663}",373 PILARES-GABRIEL MANCERA,"[357, 372, 378]",19.377968,-99.166663
171,374 - Anaxágoras-Pilares,Del Valle Centro,374,"{'lat': 19.376964, 'lon': -99.161116}",374 PITÁGORAS-PILARES,"[359, 375, 376]",19.376964,-99.161116
172,282 - La Morena-Eje 2 Poniente Gabriel Mancera,Del Valle Norte,282,"{'lat': 19.398692, 'lon': -99.161273}",282 LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA,"[278, 293, 294]",19.398692,-99.161273
173,279 - La Morena-Providencia,Del Valle Norte,279,"{'lat': 19.399908, 'lon': -99.166553}",279 LA MORENA-PROVIDENCIA,"[164, 278, 282]",19.399908,-99.166553
174,323 - Concepción Beistegui-Gabriel Mancera,Del Valle Norte,323,"{'lat': 19.389026, 'lon': -99.163403}",323 CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA,"[319, 322, 324]",19.389026,-99.163403
175,316 - San Francisco-Concepción Beistegui,Del Valle Norte,316,"{'lat': 19.391056, 'lon': -99.1712}",316 SAN FRANCISCO-CONCEPCIÓN BEISTEGUI,"[301, 302, 315]",19.391056,-99.1712
176,317 - Avenida Coyoacán-Torres Adalid,Del Valle Norte,317,"{'lat': 19.391456, 'lon': -99.166157}",317 AVENIDA COYOACÁN-TORRES ADALID,"[299, 300, 318]",19.391456,-99.166157
177,318 - Luz Saviñón-Amores,Del Valle Norte,318,"{'lat': 19.392249, 'lon': -99.164127}",318 LUZ SAVIÑÓN-AMORES,"[299, 317, 319]",19.392249,-99.164127
178,319 - Diagonal San Antonio-Luz Saviñon,Del Valle Norte,319,"{'lat': 19.391991, 'lon': -99.162684}",319 DIAGONAL SAN ANTONIO-LUZ SAVIÑON,"[298, 318, 320]",19.391991,-99.162684
179,291 - Magdalena-División Del Norte,Del Valle Norte,291,"{'lat': 19.397651, 'lon': -99.169946}",291 MAGDALENA-DIVISIÓN DEL NORTE,"[283, 284, 290]",19.397651,-99.169946
180,292 - Adolfo Prieto-Eje 4 Sur Xola,Del Valle Norte,292,"{'lat': 19.396917, 'lon': -99.166264}",292 ADOLFO PRIETO-EJE 4 SUR XOLA,"[283, 293, 299]",19.396917,-99.166264
181,293 - Mier Y Pesado-Eje 4 Sur Xola,Del Valle Norte,293,"{'lat': 19.397373, 'lon': -99.164598}",293 MIER Y PESADO-EJE 4 SUR XOLA,"[283, 292, 294]",19.397373,-99.164598
182,298 - Romero De Terreros-Gabriel Mancera,Del Valle Norte,298,"{'lat': 19.394073, 'lon': -99.16214}",298 ROMERO DE TERREROS-GABRIEL MANCERA,"[294, 318, 319]",19.394073,-99.16214
183,299 - Romero De Terreros-Mier Y Pesado,Del Valle Norte,299,"{'lat': 19.394601, 'lon': -99.165054}",299 ROMERO DE TERREROS-MIER Y PESADO,"[292, 298, 318]",19.394601,-99.165054
184,300 - Providencia -Luz Saviñon,Del Valle Norte,300,"{'lat': 19.393268, 'lon': -99.168333}",300 PROVIDENCIA -LUZ SAVIÑON,"[301, 302, 317]",19.393268,-99.168333
185,301 - Luz Saviñón-Magdalena,Del Valle Norte,301,"{'lat': 19.393807, 'lon': -99.171133}",301 LUZ SAVIÑÓN-MAGDALENA,"[300, 302, 316]",19.393807,-99.171133
186,302 - Luz Saviñon-Magdalena,Del Valle Norte,302,"{'lat': 19.393832, 'lon': -99.171466}",302 LUZ SAVIÑON-MAGDALENA,"[301, 303, 304]",19.393832,-99.171466
187,377 - Heriberto Frías-Miguel Laurent,Del Valle Sur,377,"{'lat': 19.375394, 'lon': -99.16375}",377 HERIBERTO FRÍAS-MIGUEL LAURENT,"[373, 376, 400]",19.375394,-99.16375
188,378 - Miguel Laurent-Amores,Del Valle Sur,378,"{'lat': 19.375823, 'lon': -99.168076}",378 MIGUEL LAURENT-AMORES,"[372, 373, 379]",19.375823,-99.168076
189,390 - Oso-Felix Cuevas,Del Valle Sur,390,"{'lat': 19.373228, 'lon': -99.17826}",390 OSO-FELIX CUEVAS,"[389, 391, 416]",19.373228,-99.17826
190,391 - Oso-Felix Cuevas,Del Valle Sur,391,"{'lat': 19.373142, 'lon': -99.178283}",391 OSO-FELIX CUEVAS,"[389, 390, 416]",19.373142,-99.178283
191,394 - Dr. Roberto Gayol-Felix Cuevas,Del Valle Sur,394,"{'lat': 19.372437, 'lon': -99.171592}",394 DR. ROBERTO GAYOL-FELIX CUEVAS,"[393, 395, 396]",19.372437,-99.171592
192,395 - San Lorenzo-Callejón Martín Menlalde,Del Valle Sur,395,"{'lat': 19.373742, 'lon': -99.169814}",395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,"[379, 394, 396]",19.373742,-99.169814
193,396 - Martín Menlalde-Felix Cuevas,Del Valle Sur,396,"{'lat': 19.371554, 'lon': -99.170187}",396 MARTÍN MENLALDE-FELIX CUEVAS,"[394, 395, 413]",19.371554,-99.170187
194,397 - San Lorenzo-Gabriel Mancera,Del Valle Sur,397,"{'lat': 19.373194, 'lon': -99.167247}",397 SAN LORENZO-GABRIEL MANCERA,"[398, 399, 400]",19.373194,-99.167247
195,398 - Sanchez Azcona-Felix Cuevas,Del Valle Sur,398,"{'lat': 19.37103, 'lon': -99.16566}",398 SANCHEZ AZCONA-FELIX CUEVAS,"[397, 399, 400]",19.37103,-99.16566
196,399 - Heriberto Frías-San Lorenzo,Del Valle Sur,399,"{'lat': 19.372407, 'lon': -99.164519}",399 HERIBERTO FRÍAS-SAN LORENZO,"[397, 398, 400]",19.372407,-99.164519
197,400 - San Lorenzo-Heriberto Frias,Del Valle Sur,400,"{'lat': 19.3726458, 'lon': -99.1642743}",400 SAN LORENZO-HERIBERTO FRIAS,"[397, 398, 399]",19.3726458,-99.1642743
198,433 - Jose María Olloqui-Lopéz Costilla,Del Valle Sur,433,"{'lat': 19.363558, 'lon': -99.170819}",433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,"[434, 435, 439]",19.363558,-99.170819
